entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason,entry_fee,exit_fee,entry_close_time,entry_quote_asset_volume,entry_number_of_trades,entry_taker_buy_base_asset_volume,entry_taker_buy_quote_asset_volume,entry_inserted_at,entry_rsi,exit_close_time,exit_quote_asset_volume,exit_number_of_trades,exit_taker_buy_base_asset_volume,exit_taker_buy_quote_asset_volume,exit_inserted_at,exit_rsi
2024-12-02 10:08:00+00:00,2024-12-02 11:22:00+00:00,95140.0,95288.67,0.10005163490883758,-4.178023205118803,0.001562644523859557,long,signal,9.518912545226808,9.533787221788703,2024-12-02T10:08:59.999+00:00,1281521.1829692,5307,4.23646,403202.3546343,2025-05-03T07:45:15.037136+00:00,29.574450838939057,2024-12-02T11:22:59.999+00:00,1492374.6396246,4971,8.49553,809494.5067305,2025-05-03T07:45:15.037136+00:00,74.6481942714805
2024-12-02 11:47:00+00:00,2024-12-02 12:29:00+00:00,95005.29,95386.15,0.10014952348465743,19.075335522808942,0.004008829403078508,long,signal,9.514734522021689,9.552877469536055,2024-12-02T11:47:59.999+00:00,5026226.8710869,4994,19.56883,1860058.8935818,2025-05-03T07:45:15.037136+00:00,14.319055140380982,2024-12-02T12:29:59.999+00:00,2529138.4958388,3686,17.20843,1641029.8018591,2025-05-03T07:45:15.653033+00:00,75.82550296032167
2024-12-02 12:46:00+00:00,2024-12-02 13:07:00+00:00,95025.97,95224.93,0.10032846660280867,0.873770648489705,0.0020937434261391052,long,signal,9.5338098575445,9.553771209259793,2024-12-02T12:46:59.999+00:00,1488899.7134936,2855,3.85977,366879.6848685,2025-05-03T07:45:15.653033+00:00,23.621146603431143,2024-12-02T13:07:59.999+00:00,3983134.0884183,8796,30.14512,2867635.1557229,2025-05-03T07:45:15.653033+00:00,71.3162924032489
2024-12-02 14:18:00+00:00,2024-12-02 14:26:00+00:00,95511.15,95821.99,0.09982796383660954,11.930126498307864,0.0032544891355617755,long,signal,9.534683628192989,9.565714152471962,2024-12-02T14:18:59.999+00:00,2556955.7390949,3430,6.41667,612894.4117447,2025-05-03T07:45:15.653033+00:00,28.44044275565828,2024-12-02T14:26:59.999+00:00,1135129.0675674,3557,6.3042,603976.3581594,2025-05-03T07:45:15.653033+00:00,76.45968131337494
2024-12-02 15:00:00+00:00,2024-12-02 15:17:00+00:00,96320.88,96636.0,0.09911260938117775,12.107905593345482,0.003271564794673754,long,signal,9.546613754691297,9.577846120159492,2024-12-02T15:00:59.999+00:00,6705670.0492973,12892,31.75502,3059007.2999335,2025-05-03T07:45:15.653033+00:00,28.818601317145635,2024-12-02T15:17:59.999+00:00,5575446.5708144,7798,34.63133,3346076.2489118,2025-05-03T07:45:15.653033+00:00,81.53444034440349
2024-12-02 16:22:00+00:00,2024-12-02 17:58:00+00:00,96776.0,94518.01,0.09877161341949078,-241.91973339026072,-0.023332127800281117,long,stoploss,9.55872166028464,9.335696344899564,2024-12-02T16:22:59.999+00:00,8650423.0074566,10168,26.406,2560341.9631176,2025-05-03T07:45:15.653033+00:00,27.77870121689901,2024-12-02T17:58:59.999+00:00,22920299.7308162,24136,68.73839,6510337.9609903,2025-05-03T07:45:15.653033+00:00,11.841534216064389
2024-12-02 19:11:00+00:00,2024-12-02 19:31:00+00:00,95260.01,95473.99,0.09780391506251553,2.2735498095442583,0.002246273121323528,long,signal,9.31680192689438,9.337730008639458,2024-12-02T19:11:59.999+00:00,9831870.5972913,6971,21.92851,2089241.3447795,2025-05-03T07:45:15.653033+00:00,24.094516167238638,2024-12-02T19:31:59.999+00:00,2459679.7713999,6035,16.63066,1587082.6785867,2025-05-03T07:45:15.653033+00:00,75.41894953325057
2024-12-02 20:29:00+00:00,2024-12-02 21:45:00+00:00,96026.25,95710.15,0.09704716654772964,-49.28408368980001,-0.0032918082295206345,long,signal,9.319075476703924,9.288398867358186,2024-12-02T20:29:59.999+00:00,566518.5490354,2274,1.99463,191614.8954256,2025-05-03T07:45:15.653033+00:00,27.885181633099364,2024-12-02T21:45:59.999+00:00,1525000.1237993,4182,12.94356,1238272.9094505,2025-05-03T07:45:15.653033+00:00,79.16573813334253
2024-12-02 21:59:00+00:00,2024-12-02 22:23:00+00:00,95406.88,95515.99,0.09716061769354709,-7.948988984481812,0.0011436282163298976,long,signal,9.269791393014124,9.280392588010667,2024-12-02T21:59:59.999+00:00,1182600.4728725,2071,7.54701,720236.6723369,2025-05-03T07:45:15.653033+00:00,14.327052014961609,2024-12-02T22:23:59.999+00:00,2358214.3718932,3994,22.54583,2152466.927393,2025-05-03T07:45:15.653033+00:00,75.52564602297637
2024-12-03 00:33:00+00:00,2024-12-03 00:47:00+00:00,95728.5,96071.06,0.09675114938633367,14.58624585198917,0.0035784536475553016,long,signal,9.261842404029643,9.294985477763424,2024-12-03T00:33:59.999+00:00,1290172.8370229,3567,7.26056,695231.335915,2025-05-03T07:45:15.653033+00:00,29.27013219871064,2024-12-03T00:47:59.999+00:00,2723441.1621962,3566,16.54632,1589387.4102219,2025-05-03T07:45:15.653033+00:00,72.10406772661545
