entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason
2024-05-24 18:00:00+00:00,2024-05-24 19:00:00+00:00,67748.63,69115.98,0.1867587472795975,255.364573092756,0.020182695945290572,long,signal
2024-05-27 14:00:00+00:00,2024-05-27 15:00:00+00:00,68518.02,70373.85,0.1883885996968639,349.61721497543124,0.027085283550225204,long,signal
2024-05-30 04:00:00+00:00,2024-05-30 05:00:00+00:00,68049.67,68134.14,0.19482285596355053,16.45668664324134,0.0012412991863149545,long,signal
2024-06-01 05:00:00+00:00,2024-06-01 06:00:00+00:00,68174.99,67693.32,0.1947061194056704,-93.78409653412892,-0.007065200889651736,long,signal
2024-06-09 20:00:00+00:00,2024-06-09 21:00:00+00:00,69154.43,69749.96,0.19059232571053306,113.5034477303963,0.008611595815336971,long,signal
2024-06-11 14:00:00+00:00,2024-06-11 15:00:00+00:00,68024.04,66244.48,0.19542807358423073,-347.77598262755316,-0.026160751404944456,long,stop_loss
2024-06-12 04:00:00+00:00,2024-06-12 05:00:00+00:00,66487.47,67243.21,0.19471384776694167,147.15304331138952,0.011366652994917768,long,signal
2024-06-14 15:00:00+00:00,2024-06-14 16:00:00+00:00,67328.01,65293.4,0.19446860460156912,-395.66776760839724,-0.03021936932340631,long,stop_loss
2024-06-15 05:00:00+00:00,2024-06-15 06:00:00+00:00,65416.01,66168.57,0.19410410979960555,146.0749888707921,0.011504217392653648,long,signal
2024-06-19 05:00:00+00:00,2024-06-19 06:00:00+00:00,65722.08,65599.99,0.1954227768896372,-23.859166830455123,-0.001857670968417258,long,signal
2024-06-20 04:00:00+00:00,2024-06-20 05:00:00+00:00,64874.76,65513.93,0.19760739322553844,126.30471752796706,0.009852367854617084,long,signal
